DATE,Count,NAME,AWND,TAVG,SNOW,PRCP,WT03,WT08,TMIN,TMAX
4/1/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,52,0,0,,1,35,72
4/2/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.18,58,0,0.36,,,50,65
4/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,50,0,0,,,30,53
4/4/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,40,0,0,,,28,58
4/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,53,0,0,,,36,66
4/6/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,45,0,0.04,,,34,62
4/7/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,40,0,0,,1,38,46
4/8/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,44,0,0.05,,1,40,50
4/9/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,52,0,1.41,1,1,41,71
4/10/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17.22,52,0,0,,,39,62
4/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,48,0,0,,,38,62
4/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.74,55,0,0,,,41,68
4/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,60,0,0.22,1,,49,65
4/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.92,56,0,0,,,39,66
4/15/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.74,54,0,0,,,43,64
4/16/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.49,53,0,0,,,45,66
4/17/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.14,61,0,0,,1,45,78
4/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,59,0,0,,,47,65
